doi,paper_title,year,journal,first_author,authors,publisher,issn,cited_by_count,crossref_type
10.1016/j.jwpe.2024.106185,,2024,Journal of Water Process Engineering,Abdul Gaffar Sheik,Abdul Gaffar Sheik; Muneer Ahmad Malla; Chandra Sainadh Srungavarapu; Ameer Khan Patan; Sheena Kumari; Faizal Bux,Elsevier BV,2214-7144,16,
10.1002/wer.10932,,2023,Water Environment Research,Suresh Kumar,Suresh Kumar; Vikramaditya Sangwan; Munish Kumar; Shweta Shweta; Shivani Shivani; Manoj Kumar; Surinder Deswal,Wiley,1061-4303,6,
10.1007/s10311-023-01602-5,,2023,Environmental Chemistry Letters,Si Li,Si Li; Guocheng Zhu; Xiaoshang Li; Peng Wan; Fang Yuan; Shanshan Xu; Andrew S. Hursthouse,Springer Science and Business Media LLC,1610-3653,10,
10.1016/j.envres.2024.120108,,2024,Environmental Research,Jie Zhang,Jie Zhang; Zeqing Long; Zhijun Ren; Weichao Xu; Zhi Sun; He Zhao; Guangming Zhang; Wenfang Gao,Elsevier BV,0013-9351,7,
10.1016/j.ifacol.2022.11.010,,2022,IFAC-PapersOnLine,Aycan Sapmaz,Aycan Sapmaz; Sena Kurban; Asena Gulter Dundar; Deren Atac Yılmaz; Gizem Kusoglu Kaya,Elsevier BV,2405-8963,4,
10.1007/s11783-024-1791-x,,2023,Frontiers of Environmental Science &amp; Engineering,Junchen Li,Junchen Li; Sijie Lin; Liang Zhang; Yuheng Liu; Yongzhen Peng; Qing Hu,Springer Science and Business Media LLC,2095-2201,17,
10.1109/access.2020.3032531,,2020,IEEE Access,Jianhui Wang,Jianhui Wang; Keyi Wan; Xu Gao; Xuhong Cheng; Yu Shen; Zheng Wen; Usman Tariq; Md. Jalil Piran,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,34,
10.11591/eei.v9i5.2264,,2020,Bulletin of Electrical Engineering and Informatics,Nur Sakinah Ahmad Yasmin,Nur Sakinah Ahmad Yasmin; Norhaliza Abdul Wahab; Aznah Nor Anuar,Institute of Advanced Engineering and Science,2302-9285,8,
10.1109/tai.2023.3347182,,2024,IEEE Transactions on Artificial Intelligence,Dingyuan Chen,Dingyuan Chen; Cuili Yang; Junfei Qiao,Institute of Electrical and Electronics Engineers (IEEE),2691-4581,13,
10.1109/access.2021.3123225,,2021,IEEE Access,Xin Liu,Xin Liu; Qiming Shi; Zhen Liu; Jia Yuan,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,54,
10.1109/ichora65333.2025.11017189,,2025,"2025 7th International Congress on Human-Computer Interaction, Optimization and Robotic Applications (ICHORA)",Ismaila Abubakar Bobboi,Ismaila Abubakar Bobboi; Kamil Dimililer,IEEE,,1,
10.1109/access.2025.3576826,,2025,IEEE Access,Md. Jahid Hasan Mridha,Md. Jahid Hasan Mridha; Md. Mehedi Hossain; Sazid Md. Imran; Sk Ayub Al Wahid; Anika Tahsin; Md. Golam Rabiul Alam; Ashis Talukder; Ahmed Wasif Reza,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,1,
10.11591/ijai.v12.i2.pp560-567,,2023,IAES International Journal of Artificial Intelligence (IJ-AI),Oscar Ivan Vargas Mora,Oscar Ivan Vargas Mora; Daiam Camilo Parrado Nieto; Jairo David Cuero Ortega; Javier Eduardo Martinez Baquero; Robinson Jimenez Moreno,Institute of Advanced Engineering and Science,2252-8938,1,
10.15376/biores.19.2.2179-2200,,2024,BioResources,Raid Alrowais,Raid Alrowais; Mahmoud M. Abdel daiem; Ahmed M. Helmi; Basheer M. Nasef; Ananda Rao Hari; Pascal Saikaly; Noha Said,BioResources,1930-2126,6,
10.2166/wpt.2023.197,,2023,Water Practice &amp; Technology,Feras A. Batarseh,Feras A. Batarseh; Ajay Kulkarni; Chhayly Sreng; Justice Lin; Siam Maksud,IWA Publishing,1751-231X,13,
10.1021/acs.iecr.3c00275,,2023,Industrial &amp; Engineering Chemistry Research,Henry J. Tanudjaja,Henry J. Tanudjaja; Angie Qi Qi Ng; Jia Wei Chew,American Chemical Society (ACS),0888-5885,15,
