doi,paper_title,year,journal,sub_field,data_source,best_algorithm,best_metric_type,best_metric_value,validation_method,interpretability_method,model_framework,control_loop_type,scale,dataset_size,time_span,real_time_testing,deployed_in_plant,uses_real_wastewater,code_available,data_available,uncertainty_quantification,ml_algorithms,target_variable
10.1002/clen.202400009,Comparison of Machine Learning Algorithms for Prediction of Textile Effluent Treatment Efficiency Using Anaerobic Process,2024,"CLEAN – Soil, Air, Water",WWTP,experimental,RF,R2,0.94,random_split,none,sklearn,none,lab,60.0,3 months,False,False,True,False,False,False,ANN; AdaBoost; GBM; GBR; RF; SVM; SVR; XGB; XGBoost,COD and colour removal efficiency; COD removal efficiency and colour (decolourisation) removal efficiency; decolourisation and COD removal efficiency
10.1002/wer.10932,Performance evaluation of hybrid constructed wetlands for nitrogen removal and statistical approaches,2023,Water Environment Research,WWTP,experimental,SVM,R2,0.572,random_split,none,not_specified,none,pilot,200.0,1 year,False,False,True,False,False,False,ANN; LR; MLR; SVM; SVR,reduction of total nitrogen; total nitrogen reduction (RED TN)
10.1002/wer.11136,Understanding machine learning predictions of wastewater treatment plant sludge with explainable artificial intelligence,2024,Water Environment Research,sludge,SCADA,GBM,R2,0.7,k_fold,SHAP,sklearn,none,full_scale,1854.0,5 years,False,False,True,False,False,False,GBM; GBT; LASSO; LR; RF; XGBoost,primary sludge and WAS production; primary sludge and waste activated sludge (WAS) production; primary sludge and waste activated sludge (WAS) production (TPD)
10.1002/wer.11139,Enhancing efficiency and quality control: The impact of Digital Twins in drinking water networks,2024,Water Environment Research,DBP,SCADA,XGBoost,R2,0.57,random_split,none,not_specified,advisory,full_scale,1879.0,1 year,True,True,True,False,False,False,XGBoost; clustering,trihalomethane (THM) concentration; trihalomethane (THM) concentration in drinking water distribution network
10.1007/s10311-022-01524-8,A flocculation tensor to monitor water quality using a deep learning model,2022,Environmental Chemistry Letters,coagulation,experimental,CNN,accuracy,0.98,random_split,none,pytorch,none,lab,9523.0,,False,False,True,False,False,False,CNN,effluent turbidity class label; turbidity class label; turbidity class label (effluent turbidity classification)
10.1007/s10311-023-01602-5,Ecosystem-inspired model and artificial intelligence predicts pollutant consumption capacity by coagulation in drinking water treatment,2023,Environmental Chemistry Letters,coagulation,mixed,ANN,R2,0.99,random_split,feature_importance,matlab,none,mixed,1216.0,,False,False,True,False,False,False,ANN; GA,CODmn removal); CODmn); ammonia nitrogen; pollutant consumption capacity (turbidity; total P; total phosphorus
10.1007/s10661-024-12467-8,Comparison of individual and ensemble machine learning models for prediction of sulphate levels in untreated and treated Acid Mine Drainage,2024,Environmental Monitoring and Assessment,monitoring,SCADA,Stacking,R2,0.9997,k_fold,none,sklearn,none,full_scale,1107.0,5 years,False,False,True,False,False,False,ANN; Bayesian; DT; EN; ET; KNN; LASSO; LR; MLP; RF; Ridge; SVR; Stacking; XGBoost,sulphate concentration (mg/L); sulphate concentration in AMD water; sulphate levels
10.1007/s10994-023-06413-x,GVFs in the real world: making predictions online for water treatment,2023,Machine Learning,membrane,SCADA,RL,MSE,,temporal_split,none,not_specified,none,full_scale,31000000.0,1 year,True,False,True,False,False,False,ANN; LR; RL; RNN; TD,influent temperature) as General Value Functions; membrane pressure; multi-step sensor predictions (e.g.
10.1007/s11227-022-04827-3,Prediction model of sparse autoencoder-based bidirectional LSTM for wastewater flow rate,2022,The Journal of Supercomputing,monitoring,SCADA,SAE-BLSTM,R2,0.99626,random_split,none,matlab,none,full_scale,52416.0,364 days,False,False,True,False,False,False,ANN; BLSTM; FCN; GRU; LSTM; RNN; SAE; SAE-BLSTM; SVM; SVR,wastewater flow rate; wastewater flow rate (Q)
10.1007/s11270-024-07659-4,Coagulation-Flocculation/Pyrolysis Integrated System for Dye-Laden Wastewater Treatment: A Techno-Economic and Sustainable Approach,2024,"Water, Air, &amp; Soil Pollution",coagulation,experimental,ANN,R2,0.989,random_split,none,matlab,none,lab,29.0,,False,False,True,False,False,False,ANN; GA; RSM,dye and turbidity removal efficiency
10.1007/s11783-024-1791-x,Brain-inspired multimodal approach for effluent quality prediction using wastewater surface images and water quality data,2023,Frontiers of Environmental Science &amp; Engineering,WWTP,experimental,BITF-CL,R2,0.97,random_split,attention_weights,pytorch,none,pilot,40246.0,40 days,False,False,True,False,False,False,ANN; BP; CNN; CNN-LSTM; ELM; LR; LSSVM; LSTM; SVM; VGG11,effluent COD and NH3 concentration; effluent COD and NH3-N concentration; effluent COD and NH3-N levels
10.1007/s11947-023-03033-0,"Deep Study on Fouling Modelling of Ultrafiltration Membranes Used for OMW Treatment: Comparison Between Semi-empirical Models, Response Surface, and Artificial Neural Networks",2023,Food and Bioprocess Technology,membrane,experimental,ANN,R2,0.935,random_split,none,matlab,none,lab,,,False,False,True,False,False,False,ANN; RSM,permeate flux; permeate flux decline during ultrafiltration of olive oil washing wastewater
10.1007/s13201-018-0821-8,Design and development of reverse osmosis (RO) plant status monitoring system for early fault prediction and predictive maintenance,2018,Applied Water Science,membrane,experimental,ANN,R2,0.9999,random_split,none,matlab,advisory,pilot,75.0,10 days,True,True,True,False,False,False,ANN,membrane efficiency; membrane efficiency (fouling and scaling prediction)
10.1007/s13201-019-1018-5,Machine learning techniques for monitoring the sludge profile in a secondary settler tank,2019,Applied Water Science,monitoring,SCADA,GMM,other,,temporal_split,none,matlab,none,full_scale,2208.0,23 days,False,False,True,False,False,True,GMM; GPR,sludge profile (suspended solids concentration as a function of settler level) and fault detection in secondary settler tank; suspended solids concentration profile
10.1007/s13201-023-01957-8,A novel experimental and machine learning model to remove COD in a batch reactor equipped with microalgae,2023,Applied Water Science,WWTP,experimental,ANN,R2,0.98,random_split,none,not_specified,none,pilot,210.0,20 days,False,False,True,False,False,False,ANN; MLP,residual COD concentration
