panel,plant,records,predictors,random_cv,walk_forward,scenario,median,mean,n,effluent_cv_lo,effluent_cv_hi
a,all,6006.0,8-13,,,,,,,,
b,best/median/worst,,,0.396/0.081/-0.098,0.099/0.027/-0.073,,,,,,
c,,,,,,Mean,-0.024,-0.047,29.0,,
c,,,,,,Persistence,-0.96,-0.897,29.0,,
c,,,,,,Feedforward ML,0.029,0.025,29.0,,
c,,,,,,Autoregressive ML,0.031,0.037,29.0,,
e,Plant 1,,,,,,,,,17.8,56.2
e,Plant 6,,,,,,,,,79.5,98.9
e,Plant 5,,,,,,,,,86.2,104.0
e,Plant 2,,,,,,,,,79.9,98.2
e,Plant 3,,,,,,,,,72.3,99.8
e,Plant 4,,,,,,,,,99.7,105.0
