target,group,model,feature,importance_mean,importance_sd
CN(Out),auxiliary,HGB,COD(In),0.0036193849772407916,0.006050357796340518
CN(Out),auxiliary,HGB,NH3-N(In),0.0011967396384542806,0.001009541549625995
CN(Out),auxiliary,HGB,pH(In),0.007747318691411343,0.0024366768549466036
CN(Out),auxiliary,HGB,TN(In),-0.00016158728756027196,0.000997185922370058
CN(Out),auxiliary,HGB,TPH(In),0.006393273744085737,0.006529707173995655
CN(Out),auxiliary,HGB,chromaticity(In),0.02252795763808587,0.0041048382173431265
CN(Out),auxiliary,HGB,TSS(In),0.02292729124506976,0.0028980692621538217
CN(Out),auxiliary,HGB,NB(In),-0.006725504798029291,0.005040140408882119
CN(Out),auxiliary,HGB,CN(In),0.027268417636994315,0.008658143829011656
CN(Out),auxiliary,HGB,SF(In),0.5670378491061961,0.05459438305390071
CN(Out),auxiliary,HGB,TP(In),0.05905118778120595,0.004328058848861677
CN(Out),auxiliary,HGB,VP(In),0.5567717195497298,0.028545414727302394
CN(Out),auxiliary,HGB,FCOH(In),0.011848776214673163,0.00313661881433988
COD(Out),core,HGB,COD(In),0.044829364760694754,0.02651062501058632
COD(Out),core,HGB,NH3-N(In),0.07021410156070453,0.017965860475503442
COD(Out),core,HGB,pH(In),0.09017160647012812,0.025827823947298757
COD(Out),core,HGB,TN(In),0.11727363837471758,0.023380250462271157
COD(Out),core,HGB,TPH(In),0.0647155307325117,0.018199346004285872
COD(Out),core,HGB,chromaticity(In),0.22822670504811526,0.026384949824904524
COD(Out),core,HGB,TSS(In),1.3301379119429924,0.07232895843848727
COD(Out),core,HGB,NB(In),0.08452291464690534,0.01899000899064982
COD(Out),core,HGB,CN(In),0.029322919134576443,0.021487324821977696
COD(Out),core,HGB,SF(In),0.15532002339000922,0.029217343692539373
COD(Out),core,HGB,TP(In),0.5622784309890538,0.05710774005710849
COD(Out),core,HGB,VP(In),-0.026616305227571923,0.011325906824331945
COD(Out),core,HGB,FCOH(In),0.20889520403996134,0.038428133741856677
NH3-N(Out),core,RF,COD(In),0.6326191353701602,0.04266477146548194
NH3-N(Out),core,RF,NH3-N(In),0.020842285947748385,0.01037882194743767
NH3-N(Out),core,RF,pH(In),0.22480092852184566,0.05194872415811253
NH3-N(Out),core,RF,TN(In),0.050835770770293456,0.009711338406779131
NH3-N(Out),core,RF,TPH(In),0.12195861268006294,0.03375310242134262
NH3-N(Out),core,RF,chromaticity(In),0.022077032302635392,0.03468385567252146
NH3-N(Out),core,RF,TSS(In),0.12113669723079763,0.029202584964941644
NH3-N(Out),core,RF,NB(In),0.0445473884844733,0.008059367856726748
NH3-N(Out),core,RF,CN(In),0.1028025641772102,0.02906290249801748
NH3-N(Out),core,RF,SF(In),0.009749079698940599,0.011386154664479526
NH3-N(Out),core,RF,TP(In),0.20812968507089438,0.050505571859113516
NH3-N(Out),core,RF,VP(In),0.05221210377595452,0.017010096646797042
NH3-N(Out),core,RF,FCOH(In),0.3151497216018035,0.061098126102163725
SF(Out),auxiliary,HGB,COD(In),0.00664152245109938,0.00609874647103007
SF(Out),auxiliary,HGB,NH3-N(In),-0.019171408543348367,0.010603378349312553
SF(Out),auxiliary,HGB,pH(In),0.02381785600074061,0.01549674384186007
SF(Out),auxiliary,HGB,TN(In),0.13450866626856606,0.014213540367538231
SF(Out),auxiliary,HGB,TPH(In),0.15809371569498443,0.027497796400771313
SF(Out),auxiliary,HGB,chromaticity(In),0.019347105847738057,0.010195298570860665
SF(Out),auxiliary,HGB,TSS(In),0.0405925379964309,0.008815963891356785
SF(Out),auxiliary,HGB,NB(In),0.12626276689405197,0.012194499041193048
SF(Out),auxiliary,HGB,CN(In),0.040388119763739905,0.011114991254159212
SF(Out),auxiliary,HGB,SF(In),0.005600578000019696,0.010725308571051893
SF(Out),auxiliary,HGB,TP(In),0.143189018447395,0.009561755457464688
SF(Out),auxiliary,HGB,VP(In),0.03743554295954484,0.004714143003413739
SF(Out),auxiliary,HGB,FCOH(In),1.0497519067935113,0.09012336502915058
TN(Out),core,HGB,COD(In),0.16761273704812502,0.01958347292146726
TN(Out),core,HGB,NH3-N(In),0.13691478624818154,0.02946984414051815
TN(Out),core,HGB,pH(In),0.3458090921211246,0.0968234531303476
TN(Out),core,HGB,TN(In),0.6460486120677593,0.06680562429611564
TN(Out),core,HGB,TPH(In),0.1510144071037584,0.0469148476416193
TN(Out),core,HGB,chromaticity(In),1.0429143901594178,0.16294541511191749
TN(Out),core,HGB,TSS(In),0.21773439567581238,0.04455694214091324
TN(Out),core,HGB,NB(In),0.3060831574937589,0.02224670504129652
TN(Out),core,HGB,CN(In),0.15079774760963874,0.028982984354159063
TN(Out),core,HGB,SF(In),0.01380928022091954,0.02688366451500002
TN(Out),core,HGB,TP(In),0.19181562363424726,0.03958315100315999
TN(Out),core,HGB,VP(In),-0.013522819622275306,0.0145774478397029
TN(Out),core,HGB,FCOH(In),2.189407639362403,0.19557270514357583
TPH(Out),auxiliary,RF,COD(In),0.0663314734932382,0.009904575710355364
TPH(Out),auxiliary,RF,NH3-N(In),0.004529439237392119,0.0035674783281091503
TPH(Out),auxiliary,RF,pH(In),0.006703489405457929,0.0022599622156798294
TPH(Out),auxiliary,RF,TN(In),-0.0035263745610792487,0.0049494508689661015
TPH(Out),auxiliary,RF,TPH(In),0.00641612633839248,0.003853419417744248
TPH(Out),auxiliary,RF,chromaticity(In),1.5741640490056816,0.24998650693729824
TPH(Out),auxiliary,RF,TSS(In),0.05558416967256593,0.008149204876116959
TPH(Out),auxiliary,RF,NB(In),0.07129017186609655,0.025906970989986945
TPH(Out),auxiliary,RF,CN(In),0.030988482866133628,0.02741678311067714
TPH(Out),auxiliary,RF,SF(In),0.15017211710443715,0.025218185819137238
TPH(Out),auxiliary,RF,TP(In),0.0035905094866176546,0.0016170985666090628
TPH(Out),auxiliary,RF,VP(In),0.1557126906160526,0.015186740757080168
TPH(Out),auxiliary,RF,FCOH(In),0.005329483049127393,0.0033833552569849305
TSS(Out),core,HGB,COD(In),0.032876481227680776,0.010305596767278833
TSS(Out),core,HGB,NH3-N(In),0.018974813314963923,0.014800625358499896
TSS(Out),core,HGB,pH(In),0.11541675376372076,0.043570415980876756
TSS(Out),core,HGB,TN(In),0.1682489455182557,0.024453953762489027
TSS(Out),core,HGB,TPH(In),0.3276085298206476,0.0469871483175031
TSS(Out),core,HGB,chromaticity(In),0.016288761505673856,0.014579666288363031
TSS(Out),core,HGB,TSS(In),0.13088924071551605,0.03495618965168522
TSS(Out),core,HGB,NB(In),0.1381454694992013,0.02461892026774537
TSS(Out),core,HGB,CN(In),0.09465726929481791,0.02757759074213244
TSS(Out),core,HGB,SF(In),0.09633912227723801,0.01917976964417039
TSS(Out),core,HGB,TP(In),0.29148653715289724,0.027557763521461196
TSS(Out),core,HGB,VP(In),0.14264830341686321,0.020510793287569187
TSS(Out),core,HGB,FCOH(In),0.5722253484655065,0.07046195214652728
VP(Out),auxiliary,HGB,COD(In),0.26223553766394825,0.03293958497953608
VP(Out),auxiliary,HGB,NH3-N(In),0.08567259329778196,0.01816963746683114
VP(Out),auxiliary,HGB,pH(In),0.223806789618211,0.04871912741501441
VP(Out),auxiliary,HGB,TN(In),0.055543958538431436,0.031089356039766605
VP(Out),auxiliary,HGB,TPH(In),0.18003052107701284,0.052448806657513926
VP(Out),auxiliary,HGB,chromaticity(In),0.2736749753662632,0.061236959750082295
